Ch1 Amplitude,Ch2 Amplitude,Cluster
3214.86865,2680.49219,1
3214.87036,2620.72729,1
3215.06079,2888.19946,1
3215.06958,2782.06055,1
3215.15918,2896.2356,1
3215.25146,2763.99316,1
3215.293,2783.9353,1
3215.29956,2666.27417,1
3215.318,2843.38867,1
3215.38843,2855.00781,1
3215.46021,2771.41577,1
3215.47021,2773.995,1
3215.47339,2722.301,1
3215.47754,2528.0752,1
3215.479,3048.0625,1
3215.5437,2675.9917,1
3215.55615,2810.1106,1
3215.72168,2751.78418,1
3215.72461,2679.81421,1
3215.81177,2707.31372,1
3215.951,2683.45752,1
3215.97461,2696.40112,1
3216.081,2713.947,1
3216.157,2569.24756,1
3216.164,2659.763,1
3216.24683,2691.31787,1
3216.25,2727.746,1
3216.27539,2640.637,1
3216.34082,2792.36914,1
3216.37256,2897.067,1
3216.49048,2745.949,1
3216.50635,2793.29761,1
3216.609,2772.52319,1
3216.637,2534.47876,1
3216.68384,2805.887,1
3216.79224,2669.915,1
3216.84644,2776.722,1
3216.85156,2607.43018,1
3216.90283,2650.40527,1
3216.90576,2668.71729,1
3216.96436,5821.333,4
3217.048,2549.97168,1
3217.14917,2638.44287,1
3217.19873,2505.99463,1
3217.38354,2728.41016,1
3217.40381,2689.5835,1
3217.43677,2782.70581,1
3217.453,2671.58765,1
3217.5437,2787.73242,1
3217.58374,2722.00928,1
3217.60352,2717.2666,1
3217.75952,2632.088,1
3218.01416,2733.94067,1
3218.0332,2629.75122,1
3218.14966,2801.39722,1
3218.28,2741.72021,1
3218.29858,2824.85938,1
3218.41138,2759.21045,1
3218.46,2737.99341,1
3218.64868,2698.98828,1
3218.65649,2778.14868,1
3218.69336,2783.285,1
3218.779,2828.89038,1
3218.78052,2804.64087,1
3218.8,2676.73,1
3218.84546,2764.26172,1
3218.926,2535.399,1
3219.032,2640.976,1
3219.075,2744.05127,1
3219.12622,2758.313,1
3219.27246,2725.52246,1
3219.43066,2691.28442,1
3219.54077,2622.1958,1
3219.54639,2695.486,1
3219.558,2853.628,1
3219.56445,2611.45117,1
3219.60034,2599.194,1
3219.62134,2737.62085,1
3219.843,2784.34155,1
3220.113,2732.4812,1
3220.15039,2550.02441,1
3220.45459,2705.28149,1
3220.5083,2725.56543,1
3220.51367,2682.65283,1
3220.54175,2762.89429,1
3220.566,2714.3064,1
3220.68384,2796.4856,1
3220.78833,2862.20459,1
3220.86255,2715.89258,1
3220.88062,2850.7937,1
3220.88818,2790.09985,1
3221.071,2728.99219,1
3221.27222,2817.10278,1
3221.31152,2669.57617,1
3221.46313,2825.086,1
3221.58667,2846.44141,1
3221.60767,2715.7124,1
3221.70532,2767.3728,1
3221.72437,2677.92725,1
3221.75952,2588.864,1
3221.76147,2634.27856,1
3221.86548,2789.324,1
3221.87,2669.75024,1
3221.90332,2874.834,1
3221.98462,2733.66724,1
3221.99463,2752.054,1
3222.008,2837.645,1
3222.16479,2790.76172,1
3222.25659,2783.827,1
3222.27124,2625.55322,1
3222.34741,2711.35034,1
3222.571,2757.44482,1
3222.58325,2701.51855,1
3222.60767,2825.442,1
3222.61353,2818.13,1
3222.66064,2922.168,1
3222.67383,2792.99146,1
3222.684,2665.53857,1
3222.77686,2640.63257,1
3222.79272,2676.779,1
3222.95557,2615.42358,1
3222.966,2743.857,1
3223.10864,2646.80566,1
3223.219,2754.389,1
3223.22461,2744.768,1
3223.24463,2789.096,1
3223.30371,2683.09253,1
3223.32153,2608.39087,1
3223.35913,2817.3374,1
3223.63647,2864.8728,1
3223.71436,2717.86719,1
3223.946,2721.95117,1
3223.95166,2741.35864,1
3223.95581,2768.79614,1
3223.961,2750.20557,1
3224.108,2742.31,1
3224.19653,2747.74023,1
3224.24683,2798.58423,1
3224.282,2815.52417,1
3224.333,2680.76245,1
3224.36182,2754.63257,1
3224.626,2568.00366,1
3224.681,2601.61523,1
3224.8252,2651.711,1
3224.86084,2755.71655,1
3224.91284,2806.719,1
3224.96167,2788.22534,1
3225.0166,2887.84888,1
3225.281,2558.33984,1
3225.394,2756.1814,1
3225.41968,2847.42432,1
3225.458,2704.74414,1
3225.49756,2695.67529,1
3225.55615,2727.5437,1
3225.61133,2823.62769,1
3225.63281,2670.07129,1
3225.8103,2688.68726,1
3225.81836,2726.01147,1
3225.90063,2694.531,1
3226.04272,2772.40576,1
3226.0542,2674.68213,1
3226.06079,2656.672,1
