Ch1 Amplitude,Ch2 Amplitude,Cluster
3231.32764,2721.71436,1
3231.434,2618.0564,1
3231.43555,2553.831,1
3231.61548,2659.20947,1
3231.66846,2673.30566,1
3231.8667,2761.16553,1
3231.91455,2536.99365,1
3231.935,2613.23926,1
3232.166,2716.01563,1
3232.17944,2737.91577,1
3232.384,2590.649,1
3232.45972,2668.739,1
3232.5083,2662.31128,1
3232.64746,2524.273,1
3232.67,2492.44458,1
3232.701,2581.26318,1
3232.73926,2621.104,1
3232.763,2764.85522,1
3232.77026,2754.24023,1
3232.772,2761.08032,1
3232.79761,2601.22534,1
3232.94971,2519.1394,1
3233.01758,2662.03638,1
3233.13232,2615.15649,1
3233.25146,2629.797,1
3233.2832,2598.14233,1
3233.29,2616.79565,1
3233.31641,2704.19458,1
3233.35718,2644.94849,1
3233.409,2674.58374,1
3233.421,2789.93213,1
3233.43921,2568.799,1
3233.45386,2681.738,1
3233.58887,2598.17188,1
3233.70679,2758.89648,1
3233.77832,2656.553,1
3233.8457,2586.14,1
3234.07227,2739.20142,1
3234.09229,2508.07935,1
3234.14844,2632.45581,1
3234.2832,2693.55957,1
3234.32764,2671.02661,1
3234.387,2691.3374,1
3234.432,2716.40137,1
3234.48877,2631.42041,1
3234.5437,2549.49414,1
3234.57886,2679.21631,1
3234.63232,2567.63037,1
3234.73047,2488.66772,1
3235.105,2671.30054,1
3235.438,2394.82031,1
3235.50244,2595.83179,1
3235.59131,2619.99463,1
3235.82544,5482.715,4
3235.90234,2747.64429,1
3236.015,2485.15112,1
3236.37329,2626.46777,1
3236.491,2580.46484,1
3236.67773,2696.08228,1
3236.764,2511.41772,1
3236.90283,2588.95386,1
3236.942,2646.88477,1
3236.96143,2526.51074,1
3237.132,2765.63159,1
3237.15479,2571.05249,1
3237.25977,2479.42944,1
3237.33984,2615.44165,1
3237.52759,2460.23584,1
3237.564,2685.90137,1
3237.765,2625.907,1
3237.76953,2537.84644,1
3237.77173,2715.29541,1
3238.064,2688.79028,1
3238.092,2514.416,1
3238.11963,2689.2937,1
3238.14258,2520.44482,1
3238.29883,2768.76782,1
3238.36133,2819.296,1
3238.375,2766.55249,1
3238.42944,2715.61279,1
3238.492,2474.809,1
3238.54346,2697.334,1
3238.62939,2718.76172,1
3238.73779,2669.70361,1
3238.77686,2575.95557,1
3239.1167,2629.3667,1
3239.21826,2721.07471,1
3239.32031,2633.0542,1
3239.33643,2683.74951,1
3239.36719,2646.503,1
3239.3877,2585.22,1
3239.476,2632.77148,1
3239.50513,2513.71216,1
3239.57959,2680.12573,1
3239.71,2658.19824,1
3239.71875,2474.12036,1
3240.01172,2622.098,1
3240.014,2579.16724,1
3240.04053,2553.40356,1
3240.06519,2738.44141,1
3240.08643,2618.47339,1
3240.61426,2564.44214,1
3240.68481,2638.02954,1
3240.79614,2670.06348,1
3240.871,2660.73486,1
3240.905,2601.55444,1
3241.00586,2741.84985,1
3241.1416,2543.26245,1
3241.26733,2583.96387,1
3241.64185,2746.03149,1
3241.69214,2609.33521,1
3241.734,2582.88354,1
3241.832,2614.765,1
3242.01953,2469.411,1
3242.07129,2607.97778,1
3242.15942,2711.2417,1
3242.26465,2580.34985,1
3242.329,2576.16553,1
3242.34375,2683.15063,1
3242.44946,2525.03931,1
3242.627,2542.17969,1
3242.64429,2725.31763,1
3242.84766,2608.93384,1
3242.897,2597.99854,1
3242.92114,2823.13745,1
3243.011,2588.80151,1
3243.054,2663.232,1
3243.08154,2705.65015,1
3243.21729,2564.393,1
3243.23828,2746.1416,1
3243.315,2591.45337,1
3243.42261,2501.41553,1
3243.50757,2545.42554,1
3243.68677,2802.10181,1
3243.70142,2678.305,1
3243.74561,2506.54932,1
3243.78931,2723.26538,1
3243.83838,2675.548,1
